ALABAMA,"2,526"
ALASKA,358
ARIZONA,"3,145"
ARKANSAS,"1,456"
CALIFORNIA,"16,096"
COLORADO,"2,893"
CONNECTICUT,"1,763"
DELAWARE,487
DISTRICT OF COLUMBIA,420
FLORIDA,"9,604"
GEORGIA,"4,892"
HAWAII,530
IDAHO,790
ILLINOIS,"6,665"
INDIANA,"3,298"
IOWA,"1,657"
KANSAS,"1,438"
KENTUCKY,"2,253"
LOUISIANA,"2,446"
MAINE,830
MARYLAND,"3,114"
MASSACHUSETTS,"3,660"
MICHIGAN,"5,434"
MINNESOTA,"3,055"
MISSISSIPPI,"1,725"
MISSOURI,"3,333"
MONTANA,581
NEBRASKA,"1,008"
NEVADA,"1,371"
NEW HAMPSHIRE,763
NEW JERSEY,"4,165"
NEW MEXICO,916
NEW YORK,"9,142"
NORTH CAROLINA,"5,194"
NORTH DAKOTA,424
OHIO,"6,128"
OKLAHOMA,"1,861"
OREGON,"2,147"
PENNSYLVANIA,"6,909"
RHODE ISLAND,538
SOUTH CAROLINA,"2,575"
SOUTH DAKOTA,437
TENNESSEE,"3,251"
TEXAS,"11,724"
UTAH,"1,398"
VERMONT,351
VIRGINIA,"4,399"
WASHINGTON,"3,906"
WEST VIRGINIA,913
WISCONSIN,"3,323"
WYOMING,304